tag,sentence
MethDef,"Regarding status, users that indicated “sometimes” and “often” are considered to be drug users."
Context,YouTube has become a video-sharing platform that billions turn to for all sorts of entertainment with videos that can garner billions of views and influencers with millions of subscribers.
Data,The other variables involved in answering the research questions are income and drug use.
Data,"The four positions include: Defender, Forward, Goalkeeper and Midfielder."
MethJust,"Furthermore, the estimated standard errors of the MSEs are very similar and small compared to the cross validation errors, meaning that our estimates for the cross validation errors are equally valid."
Int,"Additionally, we saw that the effect is not instantaneous, but over time, as our lagged model fit the data better than the non-lagged model (1)"
MethDef,We will assume initially (our null hypothesis) that there is no difference between our model using only temperature and our model using temperature and the pollutants.
RQDef,"We assume then by this reasoning, that because the Sports category is the least frequent out of all, it will also have the the least number of views."
RQDef,"Let muS, muSS, muA, muM denote the average height of the users who are single, seeing someone, available, or are married."
MethDef,We can carry out the test at level 0.05.
Data,The boxplot clearly visualizes several outliers that are both low values and high values of log of deaths.
Lim,"In processing data, we removed all observations that contain NA value."
Context,Forest fires are one such event that has cost governments billions of dollars in damages and severe loss of civilian life in recent memory.
Data,There are 6 missing datapoints.
MethJust,"Considering that 'death' is a count variable and our covariates don't appear to have a linear relationship with deaths, which we will cover further in this paper, it's most logical to use Poisson GAMs with the log link function for our dataset."
Data,"The primary variable that this report will be focusing on is age, which is a quantitative variable defined as the user’s age in years, as reported on their profile."
MethDef,"With the chosen spline model with degrees of freedom being 7, it seems like non-parametric bootstrapping is an appropriate choice since the method re-samples the original data and is also well-known for having no assumptions about the distribution of data it is being applied to (6)."
Res,The new rate given that is 50% smaller is 0.00111.
MethJust,"This makes sense intuitively, because one would think that multiple days in a row of poor air quality would affect one's lungs and health more than one random day of poor air quality."
MethJust,The error I get for the linear model is 0.3682643.
MethDef,"(2) Next, we will fit 5 different spline models with effective degrees of freedom between 3 and 7."
RQJust,"Since we have anecdotal/visual evidence that playtime is not a lot for most players, being less than 200 minutes, we well test the follow hypotheses."
MethJust,"If we first take a look at the linear model (shown in below figure 8), we can see it has a linear trend."
MethJust,"For smoothing splines with a closer MSE to Linear model, we see that mean +- sd are largely overlapping, which makes the difference less significant."
MethJust,"The respective standard deviations for severity in each group are 8.987 and 8.658, which are within a factor of 2 and therefore close enough."
Struct,The MSE and standard error estimated for each model after performing 5-fold cross-validation are shown below.
MethDef,"These two models are, $$ model1 : beta_0 + s(PM) + s(O3) + s(SO2) + S(temperature) $$ $$ model2 : beta_0 + s(lagPM) +s(lag O3) + s(lagSO2) + s(lag.temperature) $$"
RQJust,"Weather patterns and human activity, for example, are two factors that are closely related to the time of year.We will make the initial hypothesis that wildfires are more likely to occur and cause significantly more damage in the summer (June, July, August) months and are less likely to occur with less intensity during the winter (November, December, January) months."
Context,"Dating services are an important part of our culture, and can help us understand how gender and sex affect society."
Res,"The Entertainment histogram is heavily rightly skewed, most of the views lie in the 0 to 4 million views per video."
Data,"However, the relationship between them seems weak as suggested by the magnitude of the correlation coefficient."
MethDef,We thus appended '.log' to the end of each of the variables.
Struct,Above is the linear regression model table.
MethJust,"To demonstrate the magnitude of the range and outliers for data regarding this variable, the following is a box plot of the area."
Data,There seems to be a negative linear relationship between log(Lifespan) and log(Metabolic.by.mass) (6).
Int,This shows that the model fits well (1)
Int,"These conclusions seem to suggest that the population of dating sites are not necessarily young adults, and that there might be evidence that the older a person is, the less likely they are to do recreational drugs."
Data,"Originally, the mean lifespan of the raccoon without the reduction in metabolic rate is 19 years."
Data,"Likewise, PatientMDRB is a categorical variable with value 1 if there was an MDRB infection in a year and 0 if there wasn’t for the given patient."
Data,"As shown in Figure 4, 74.3% (1115/1500) of users are male and 25.7% (385/1500) are female."
MethDef,"To assess whether animals with lower metabolic rates have longer lifespans, we will use a 95% confidence interval to check if the true population coefficient of the slope of the linear regression is different from 0."
Struct,There are several limitations to this research mentioned in conclusion.
MethDef,"So we would build an addtive model, where each covariate is fitted with a smoothing spline."
Res,"From our analysis of the Crab-Eating Raccoon, our model predicts that halving the metabolic rate is correlated with an increase in the lifespan of the animal."
RQJust,"Further, Youtubers of the same country as a viewer are more relatable, thus making them more enticing to watch."
RQDef,"We will attempt first to predict lifespan based on metabolic rate (adjusted for animal mass), after which we will explore the linearity (or lack thereof) of the relationship, and finally attempt to determine whether reduction in the crab-eating racoon's metabolic rate would permit us to expand the expected lifespan of the racoon in order to provide Mr Jorgenson a longer-lived pet for his pursuit of immortality."
Data,When evaluating the different features we should also be cognizant that all of the animals which we are examining belong to the same Kingdom and Phylum.
RQDef,"On a deeper level, we want to know if there is evidence that these pollutants are associated with increased mortality and which one has the strongest association with mortality."
MethDef,"With effective degrees of freedom from 3 to 7, we can now fit some smoothing spline models."
MethJust,"Given that we identified slight heteroskedasticity and our smoothing spline model is not linear, we can not conduct a fully parametric or resampling of residuals bootstrap method."
MethJust,"Because I don't know the distribution of the residuals, I could not use parametric bootstrap."
Data,"Similarly, $ozone$ and $so2$ measures the median concentration of ozone/$SO_2$ (in parts per million) respectively, and $tmpd$ measures median temperature in Fahrenheit (1)"
Data,"Our dataset, as descibed above, has 347 observations of 14 variables."
Res,"However again, the shape of the plot isn’t very linear with a correlation of 0.176."
Int,This shows that the lag-model's inclusion of the pollutant variables benefits its fit with deaths in Chicago.
Data,"The positions of interest are again Goalkeeper, Defender, Midfielder, and Forward."
MethJust,The spline model with df of 5 has a MSE of 0.3565859 and Standard Error of 0.01059897.
Data,"The largest, or oldest, mean is for the never category, which has a mean of 34.187."
Struct,"Moving on, I create CI for mean number of deaths with the three pollutants and temperature."
Struct,"With this dataset and variables, we will try to answer the following three questions (2)"
Int,This represents the mean increase in viewsPerVideo from adding one subscriber.
Data,(6) All the plots we have shown thus far suggest an inverse relationship between longevity and mass-adjusted metabolism (or between their logs.
Lim,"Another limitation is that the data didn't include more variables that might affect both pollution and mortality, such as other weather variables."
MethDef,"Note that s() denotes a spline smoothing function and the subscript under the s denotes the degrees of freedom (i.e., 4 degrees of freedom)"
Int,"The effect a wildfire causes is thus not unified but varies greatly, and it is thus highly important for researchers to be able to pinpoint which wildfires specifically are likely to burn large areas."
Data,The collected data on player performances was published by the Guardian before the final (https://www.theguardian.com/news/datablog/2010/jul/09/world-cup-2010-statistics).
Int,"In the previous section, we showed that there is a relationship between the channel and the number of words in a title."
MethJust,"In addition, since we are interested in studying the causal effect of 'Metabolic.by.mass' on 'Maximum.longevity.yrs', we must consider the omitted variable effect."
Lim,"In general, this is expected since we are aware that neither PM10 nor ozone pollution are normally distributed and both have longer right tails."
Context,The pursuit of (possibly indefinitely) long life has a legendary history - people have essentially always quested after immortality.
Context,"With the advent of platforms like OkCupid and Tinder, a person seeking a romantic partner no longer needs to frequently spend time at bars or ask friends to set up blind dates."
Int,"However, it is possible to make a more reliable casual claim, that lowering the metabolic rate of a crab-eating raccoon would lead to a 1.9-year increase in its maximum lifespan, under some assumptions."
Res,"We note that our bootstrap confidence interval is wider than the interval we generated from using R's built-in 'predict' function, [105.69, 112.44]"
Data,We will use $Max.lifespan$ as a measure of longevity in general.
Context,I hope this research shed some light into relationship between air pollution and mortality.
MethJust,"After doing so, we can see in the figure below(4) that the variable has a unimodal symmetric distribution."
Int,"Additionally, we can conclude that reducing the pollutants would cause mortality to decrease to the amount the model estimated, as our value for the prediction falls within a 95% confidence interval established by our model, indicating that we can reject the null hypothesis that decreasing the pollutants would have no effect at a temperature of 70 degrees Fahrenheit."
Lim,"(3) As such, it is important to consider that the intervals calculated are based on a linear model that assumes these hold, when they are in fact violated, which may lead to inaccuracies in the predicted values."
Int,(1) Preston Jorgensen can not conclude that reducing pollutants would cause mortality to decrease to approximately 109 non-accidental deaths per day because our data is not causal and does not hypothesize a causal relationship between mortality and the reduction of air pollutants.
MethJust,So we need to plot the response on a log scale to see how it fits with the covariates.
Int,"Although our research does not align with the evidence of a relationship between sex and substance-use habits, we could infer that our volunteered sample produced bias within the data."
Context,"Acid rain, smog, and fires that seem to burn forever continue to ravage the Earth and its environment."
MethJust,We reached this conclusion after evaluating residuals and performing cross-validation and estimating standard error.
RQDef,"To answer Preston Jorgensen's question, whether animals with lower metabolic rates have longer lifespans, we take a look into Figure 9."
Res,Notice that 19 is within the confidence interval.
RQDef,"It seems reasonable to think that the older one gets, the more money they tend to make."
Lim,"For lag-ozone pollution, the association shows a similar issue with large error bounds at the tails, and particularly the right tail."
Lim,It looks like there is an unexplained negative trend in the residuals.
Res,"From this, we can infer that the mean (110.872) is slightly higher than the median for this data (108.300)."
Struct,"In justifying linearity, we can thus turn to the formal significance test for regression slope."
RQDef,We hypothesize that the number of subscribers across the given categories will be fairly consistent with the medians falling within the range of 1.5 to 2 million subscribers.
Res,The p-value for lagged sulfur dioxide is 0.0242 which suggests that we should fail to reject the null hypothesis at the 1% level.
Data,"According to the information provided with the data set, “the area burned by the fire is in hectares."
Other,"The model assumptions for Poisson GAMs are similar to those of linear models such that they include the errors are normal, homoskedastic, and that the observations are independent."
RQDef,Our first hypothesis will involve the relationship between the posts on a thread and the view count.
RQDef,"Ultimately, we are interested in whether men make more than women in yearly income."
Res,"Also, there are quite a few significant outliers in the data set that cause the mean to be high even though hundreds of plaintiffs received $0."
Data,"The AnAge Database is a database aggregated from scientific papers that maintains extensive longevity records regarding ""ageing and life history in animals""."
MethJust,"While the heat wave can be explained by temperature, there is other data suggesting these are an anomaly (other death rates on days with the same temperature were much lower)"
Data,"There was a mean of 3,201,757.576 subscribers and a standard deviation of 3,556,605.298."
Struct,The following figure displays a contingency table for proportion for each group.
Int,"Furthermore, there does seem to be a reasonably linear relationship between subscriber count and age."
Data,"Data collected for each animal included the Kingdom of the animal (taxonomic classification for a species), common name of the animal, maximum longevity in years ('Maximum.longevity.yrs'), body mass in grams ('Body.mass.g'), metabolic rate in Watts ('Metabolic.rate'), and typical body temperature in Kelvin ('Temperature')."
Int,"From the results of this research question, it does not appear as though the variable RH is a strong indicator of the variable area."
RQJust,"We chose News & Politics as the least frequent due to the assumption that people tend to watch news on TV channels, (especially local news) rather on YouTube."
Res,"On the other hand, our model estimated that the expectation for a crab-eating raccoon with a 50% slower metabolic rate would be 20.11787 years."
Data,"The dataset is composed of following variables name: 'HAGRID', 'Kingdom', 'Phylum', 'Class', 'Order', 'Family', 'Genus', 'Species', 'Common.name', 'Maximum.longevity.yrs', 'Body.mass.g', 'Metabolic.rate', and 'Temperature' (2)."
Struct,"However, it is important to note a few issues within the data."
Int,It seems like the number of subscribers could increase the likelihood of viewsPerVideo amounting to a greater value.
MethJust,The linear fit has modest success in accounting for variation.
Res,As 'Maximum.longevity.yrs' decreases by 0.3999% when 'Metabolic.by.mass' increases by 1 %.
Context,This can help Mr. Jorgensen have an idea of the mean mortality on a typical 70-degree day given the 7-day average of pollutants are minimized to the lowest levels recorded in the dataset.
Data,"Taking a look at the normality plots (figures not shown), both Lifespan and Metabolic.by.mass variables seem to have a lack of normality."
Struct,(1) We would like to explore each of the key variables to understand their distributions and potential outliers.
Res,The data tells us that the median is around 1.218 million views per video.
Context,This work may be of help by assisting how we rank and promote discussion forums.
MethDef,We first test on $H_0:$ the null model (which only contains the intercept term) is correct versus $H_1:$ Model 2 is correct.
MethDef,And I conduct the following hypothesis test: begin{center} Null Hypothesis: $H_0$: Model 3 is correct end{center} begin{center} Alternative Hypothesis: $H_a$: My model (Model 2) is correct end{center}
Int,"Therefore, with our modelling and analysis and results, we believe Presten Jorgensen can conclude that reducing pollutants would cause mortality to decrease."
Res,"In the histogram (Figure 2), we can see that there are many Entertainment videos in the data set and they do fairly well."
Data,"Based on the histogram, we can see that our response is approximately symmetrical and normally distributed."
Data,"Boxplots (figure not shown) were also made for pm10median, o3median, so2median, and tmpd which all displayed a normal distribution with only a few outliers."
Data,"The overall mean value across all channels was 3,201,758 subscribers with a standard deviation of 3,556,605."
Res,The ANOVA yields a test statistic of F = 33.3328 and a p-value of approximately 0.
Res,"Similar to when we previously discussed the distribution and shape of viewsPerVideo, we take note of how this distribution is skewed to the right."
Data,"To answer our research questions, we will be utilizing the 'chicago.csv' dataset, which contains daily measurements of air quality, total number of non-accidental deaths, and mean temperature in Chicago, IL from January 1987 to December 2000"
MethDef,"(3) In order to determine which of these models fits the data best, we do a standard 5-fold cross-validation test on each spline model and the linear model."
Res,We see from figure 5 that the slope of the curves is the steepest for the plot of $lag_ozone$
MethDef,We will use one-way ANOVA here since we have more than two groups.
Data,'o3median' is the median concentration of ozone (parts per billion)
Lim,Our analysis is limited a certain period therefore the results may vary now in 2021 so the results cannot be generalized to all years.
Int,This difference is a good thing because it leads us to believe that our model meets its assumptions better than we originally though.
Res,We can also see that people with 0 to 5 million subscribers tend to gain views per video ranging from 0 to 5 million views.
MethJust,"Therefore, we decided to use bootstrapping by resampling cases, since we want the distribution of the generated data based on the distribution from which the actual 'death' data were drawn."
Res,"(2) Furthermore, we were able to help Preston Jorgensen conclude that reducing a crab-eating raccoon's metabolic rate by 50% would cause its lifespan to increase by nearly 9%, with the lower bound for our 95% interval we were predicting the average lifespan to be greater than the original average lifespan."
Res,We can also see that there is indeed variation between the means of the views for the various categories.
MethJust,"This is because not only did the spline models have very close prediction error estimates, they also had very close estimated standard errors (5)."
Struct,We should however also check if we violate any assumptions of the Simple Linear Regression model.
Context,"If we want to understand how sexism interacts with other societal tools (like income, education, and drinking), dating services are a great way to do so."
RQDef,"Being hired by Jorgesen, we are interested in the following three questions regarding this objective: (i) whether there is supported evidence that slowing the metabolic rate may increase lifespan."
MethDef,Since many of our plots have indicate nonlinear relationships we can consider a log transform for these variables.
MethDef,"To promote the usefulness of the prediction, we will use the day 30 December 2000 (which is the latest to present) in our prediction."
Res,"Bootstrapping by resampling residuals allowed us to find a 95% confidence interval for the estimated lifespan of the crab-eating raccoon, assuming a 50% slower metabolic rate by mass, which was 17.45691 years to 21.54319 years (3)."
Data,The plot does not appear normal.
Context,"When the defendants are judged to be guilty in court, they are expected to pay punitive damages to the plaintiff as a remedy for their misconduct."
Int,Thus this would amount to almost a 9% increase in added average lifespan for this raccoon.
RQDef,The third question explores the relationship between age and duration of stay.
Int,"(1) As requested by Preston Jorgensen, we do find evidence with our selected model that animals with lower metabolic rates do have longer lifespans."
Res,"Our chi-square test returns an x squared value of 110.19, a df of 36, and a p-value of 1.884e-09."
MethDef,"HA: Drug use and status are dependent, and show an association."
MethJust,"Based on the results of the 5-fold cross-validation, the GAM with lagged covariates has a lower prediction error than the GAM with non-lagged covariates, with a difference of 11.58"
Data,"The distribution of $Metabolic.by.mass$ also seems to be heavily right-skewed, with a mean of $4.405times 10^{-3}$ Watts per gram and median of $3.023times 10^{-3}$ per gram (2)."
MethDef,The r^2 value of the correlation may help us further understand their relationship.
Data,The distribution of the total number of video uploads is also intensely right skewed with a large number of very high outliers.
Other,"As the averages of the temperature and pollution variables have the same distributions as the medians, we will not be plotting the relationship of the averages with death rate as the underlying distribution of the relationship between death rate and the averages and death rate and the medians should be the same."
Lim,"To fix heteroscedasticity, Third, there might be other confounder variables that is not included in the dataset, for example environment temperature, that may affect the conclusion."
MethJust,"Thus, we could conclude our model is correct, and the main assumptions (linearity (correctness), i.id, homoscedasticity, Gaussian error) of our model holds (7)"
Data,(3) Figure 11 shows a slightly negative correlation between logarithmic death rate and temperature.
RQDef,"Since we are also interested in determining whether or not our predictors are most influential to deaths over short spans of time instead on any given particular day, we will look at our lag-variables separately from our original variables."
Res,The scatterplot depicting views vs posts demonstrates a positive and linear correlation.
Data,"These additional variables are income, education, and drinking."
Data,"In the scatterplot of log of deaths against date, we can see that there are several outliers with many more deaths than usual."
MethJust,All three pollutant plots are more difficult to interpret due to sparse data possibly causing curvature on the ends.
Int,"Finally, there could be another lurking variable that counteracts the effects RH has on the total area burned."
RQDef,"To understand this objective, we seek to answer three main questions of interest to Preston Jorgensen, (1) Are these three air pollutants associated with increased mortality."
Data,"'pm10median' is the median density of PM10 pollution, i.e. particulate matter with diameter less than 10 micrometers (milligrams per cubic meter)"
Context,"As the global population increases, the need to identify and categorize areas where deadly wildfires are likely to occur is critical to ensuring their damage to life and property is mitigated."
Data,"The lowest value, other than those who do not wish to report, is 20,000, while the highest is 1,000,000."
MethJust,The resulting plot was very heavily skewed left with what appeared to be several outliers.
RQDef,"(2) Then, we would analyze whether the effect of pollution is instantaneous or extends over time."
Data,"As shown in table 1, the mean area is 12.895 ha and the median area is 0.52 ha."
MethDef,"(2) Using non-parametric bootstrapping with resampling cases with 1000 bootstrap iterations, the 95% pivotal confidence interval for lifespan of an animal with those characteristics is [31.56516, 41.40858] in years."
Data,"I call this varible ""metabolic by mass""."
Struct,Figure 1 below shows the univariate distribution of explantory variables without lag.
Int,Should we use these variables in a model we may have to account for multicollinearity.
RQDef,"But how does this correlate with body type, a factor that can be another measure for health."
Int,"The effect of pollution appears to be extended over time, based on our cross-validation results from the previous section."
RQJust,"We can see that people who are single, seeing someone, available , or married mostly have a height around 70 inches."
Data,Roughly 90% of the animals in our data set will have a maximum longevity of less than 30 years and a metabolic rate (using the formula we previously described) of less than 0.01.
RQJust,This increase may suggest that the effect of pollution actually extends over time.
Int,"Again, we have not confirmed there to be a relationship between sex and another response variable (smoking habits)."
Data,We can also notice the right skewedness of PlayTime as there are less and less plots as the x-axis increases.
Lim,We could expect these variables to vary based on the different coaching styles of each team.
Data,There is some variation between the medians but it is not very significantly different.
RQDef,(5) We calculated the smallest value observed for each pollution variable and used these to create an estimate using our chosen model for the mean number of deaths on a 70-degree day with those levels of pollutants.
Int,"We are therefore able to infer that lower measurements of pollution are associated with lower mortality in Chicago, but recommend further investigation into this relationship independent of the given seasons."
Res,"Using the model, we were able to calculate that if the pollutants were at their historical lows on a 70 degree day, there would be about 4 deaths (was exactly 4.68 deaths) on average."
Context,This can impact the aim of a creator and help them determine if they need more followers or a better understanding of the YouTube algorithm.
Int,"This number is lower than the actual mortality in Chicago on 30 December 2000, which is 145 people."
MethDef,"To further identify the relationship between ISI and area, we can model simple linear regression between the the two variables."
Data,"Metabolic Rate by Mass in W/g ('Metabolic.by.mass') has mean of 4.405e-03 W/g, median of 3.023e-03 W/g and range of 4.543e-05 W/g to 4.143e-02 W/g."
RQDef,"In order to answer the second research question regarding the Crab-eating raccoon, we start by obtaining its features."
Data,The mean value demanded is about 1029742.66 dollars and the standard deviation for Demanded is 60286.50.
Struct,There are lots of limitations with our analysis and with the data in general (3)
Res,"The outliers lie very high the number of views, ranging from around 11 million to 211 million."
Lim,"On top of that, both ANOVA and chi-squared tests require random sampling, but our dataset was based upon volunteer sampling."
Data,"In figures 1 and 6, we can see that the distribution of daily temperature and temperature averaged over 7 days are both bimodal with modes at roughly 30 and 75 degrees Fahrenheit, and both are also skewed slightly left."
Lim,"To save time, we construct a relatively simple model (using 4 degrees of freedom for all spline terms)"
Res,"In the previous section, we see that Model 2, which uses lagged variables, has a smaller estimated MSE than Model 1 that assumes the effects are instantaneous."
Data,(1) This new measure of energy per unit of body mass will be reported in Watts per grams.
MethDef,"We will let the null model be model two, and null hypothesis be that model two is the correct model."
MethJust,The estimated MSE and SE values are simply too close and it seems possible that changing the seed could potentially result in even smaller differences in values between the linear and spline model.
MethDef,"Also, since log death shows a non-linear trend with the covariates, we would fit an additive model with spline smoother terms."
Data,"It appears that log-death is most associated with temperature, wherein there is a mild, negative association that suggests deaths increase with lower temperatures."
Other,"However, this may not always be the case."
Struct,"In the table below, we display the pivotal confidence interval that we have generated as a result of our bootstrapping, as well as the original confidence interval."
RQJust,This is because higher water content in plants is known as a factor that decreases the likelihood of fires starting due to its high specific heat constant.
Data,"Temperature seems to have a positive relationship with ozone, but shows no clear relationships with sulfur dioxide or PM10 pollution."
Int,Further note that this matches with the summary of models where p-value of Ozone was the smallest.
Int,"Depending on what people are interested in today’s society, those channels may change."
Res,"We ran 1000 bootstrap iterations and found a confidence interval of approximately [18.76, 23.07] (Table 2) (3)."
Lim,Future studies should try to fix the errors we had in our study.
Data,"For both distributions, the left tail is longer than the right, but the most frequent range of temperature is for warmer days, while colder days span a larger range."
MethDef,"After formulating these confidence intervals, we can then compare these two confidence intervals and determine differences between the two methods."
MethDef,We want to bootstrap to make a 95% confidence interval for the mean number of deaths.
RQJust,"In the distribution, we observe that the age 30 seems to split the sample distribution in half (which is why we choose it as our hypothesis value), with a large concentration of users between 18 and 30, while a significant portion of the users make up the tale between 30 and 65."
Int,"This is surprising, given that we predicted that more videos uploaded would mean more subscribers to the channel."
MethDef,"In the end, we built two Poisson generalized additive models: one with not lagged covariates and one with lagged covariates."
Int,The data proves that countries with greater populations and countries with greater global influence garner more views per video.
Struct,"With this information, these hypotheses will be examined."
Int,That also means that higher subcriber counts do not cause high views.
MethDef,"Because we pass all ANOVA requirements, we can begin carrying out a test at level 0.05."
Res,The Music histogram is rightly skewed but not as heavily as Entertainment.
RQDef,"Given the established model, what does it predict for the mean lifespan for an animal with crab-eating raccoon's characteristics but a 50% smaller metabolic rate."
Res,"We then compute that counts of the three months add up to 233, which accounts for about 45.1% of all counts."
Struct,We will be working with two key variables.
Data,The data we have contains 6 variables with 5114 unique observations.
Data,We will be using a specific set of data containing information from 347 different species in the Chordata phylum (meaning we collected data from only vertebrates).
Int,There is no sufficient evidence to conclude that there is an association between status and age.
RQJust,From the table above we are able to see that there is a decent amount of variation of the playtime across the different positions.
Int,"Therefore, we do not recommend that Jorgensen should spend his enormous fortune to try to reduce pollution to their lowest levels recorded in the data because we can not assert that pollution has a causal effect on mortality."
Lim,"The relationship concluded as a result of this data, however, was limiting in the sense that other factors that would largely affect viewsPerVideo were not accounted for."
Int,"We first saw that the best position for playtime is by far Goalkeeper, the best position for shots attempted is Forward followed closely by Midfielder, and the best position for total passes is Defender followed closely by Midfielder."
Int,"The p-value of the test is very close to 0, meaning that the chosen model with the covariates included is not sufficient to explain the data and we would prefer a saturated model."
Context,Studying this may be useful for those who are thinking of joining YouTube and would like to gather information about the most popular creators.
MethJust,"As Model 1 and 2 have the same complexity ($df = 21$), we choose Model 2 as it performs slightly better."
Res,The trend seems to be linear around 0 to 5M and the density of data points around that location is high.
Int,The left skew of temperature might be explained as Chicago's weather changes frequently depending on the time of the year.
MethDef,"We will randomly sample the folds from the original data into a test and train set, and use the same folds for each model."
Res,"It peaks around 1 million as well, but the right tail is much longer."
MethDef,"We are using cross-validation here, specifically k-fold cross-validation with $k = 5$."
Other,Here the residuals are the deviance residuals.
Data,There are 139 missing datapoints.
MethDef,"To determine the significance of the association between pollutants and mortality alone, we will create a lagged GAM that only uses temperature as a feature, not the pollutants."
MethJust,"In addition, many areas of the city lost power entirely while the city officials did not announce warnings of the heat wave until the 3rd day."
Struct,Figure 5 displays a boxplot showing the relationship between the number of shares when compared to each channel.
Data,“Average” makes up 27% of all users with 0.4% of all users preferring not to answer.
Data,"In figure 3, we also see that the relationships between $death$ and $lag_tmpd$ and $time$ to be strong (5)"
MethDef,"While we will also use 'time' (number of days before/after Dec 31, 1993) in our analysis, it will serve as an index and doesn't require further analysis."
MethDef,The model is as follows (1): $Lifespan = beta_0 + beta_1MRate$.
Struct,The following is a histogram of relative humidity measured when wildfires occurred.
MethDef,"Using observed values, we can calculate the expected cell count values (if the null hypothesis is true), by using the product of the observed marginals divided by the grand total."
Int,Perhaps this can be attributed to people lying about their income on the app.
MethDef,"(4) For the model we chose, we plotted the average relationship between each predictor and the outcome with uncertainty bars and can determine from the plots that ozone concentration is the pollutant most associated with mortality because its relationship with deaths looks the least flat and uniform."
MethDef,"Using the model's deviance and residuals, we calculated the chisquare distribution function and determined the p-value was approximately 0"
MethDef,"To measure this, we will need to conduct an inferential test and we will choose an alpha value of 1%."
RQDef,Our next research question will be to analyze the relationship between the subscriber counts of each country in the data.
Res,"After performing the significance test, the p-value is about very close to 0, which is less than any alpha significance level and can therefore reject the Null hypothesis."
Int,"We could also make a stronger casual claim using Model 1.2, under the assumption that $Class$, $Body.mass.g$, and $Temperature$ are the only three confounding variables in the relationship between $Age.log$ and $Metabolic.log$."
Data,The average life span for a normal crab-eating raccoon is 19 years according to our dataset.
RQDef,"Lastly, using the model we construct, we will determine what the expected mean lifespan of an animal with the crab-eating raccoon’s characteristics, but with a 50% smaller metabolic rate (1)."
RQDef,"(1) We are interested in studying the relationships between levels of pollution and how it affects mortality in Chicago, IL, and whether or not this relationship is instantaneous or time lagged."
MethJust,"There are some difference, but still not very significant when we look at the MSE of the linear model (the difference is larger mainly because we are using an additional variable here)."
Data,We notice “jacked” is an outlier with only 7 non drug users.
Context,"However, no amount of money as of yet has been able to overcome mortality."
Struct,A 95% confidence interval for the prediction is also shown on the graph.
Struct,The graph uses the fitted values for the selected (best) model against logged Metabolic Rate by Mass.
Res,"Thus, if air pollution is at such a minimum level, and the median temperature is 70 degrees in Chicago, our model predicts that the expected mortality on December 30 2000 is 107.2518 people."
Data,It is important to note that there are very different group sizes.
Struct,Our null and alternative hypotheses are as follows.
RQDef,"Specifically, the goal of this report is to use Exploratory Data Analysis (EDA) to investigate if the position of a soccer player affects their statistics in terms of playtime, shots attempted, and total passes made."
RQDef,Our first hypothesis will will involve the mean age of the profiles.
Data,"Subscribers is a quantitative variable that tells how many subscribers, or followers, a channel has."
Data,"Overall, the summary data seems to agree with figure 1 in which our variables seem normally distributed with some skewedness and outliers."
Context,This video-sharing platform is the second most popular social network and has over 2 billion users world-wide.
Int,"While India has a significantly greater population than the United States and Great-Britain (according to a 2021 Worldometer consensus: https://www.worldometers.info/world-population/india-population/), the United States and Great-Britain have a greater global influence (United States more than Great-Britian) (as reported by US News in a 2020 consensus: https://www.usnews.com/news/best-countries/influence-rankings)."
MethDef,We first conducted a global goodness-of-fit test on the selected model.
MethDef,"For the remainder of our analysis, we will use model 2 since our cross validation techniques determined that it was the better model of the two (3)"
Int,"However, Preston Jorgensen can not conclude that reducing pollutants would cause morality to decrease to this estimation, because this is observational data."
Data,Sex is a categorical variable that characterizes users’ sex into male or female.
MethDef,"To find this, we find the individual area variables of each fire, then sum them up and categorize them by month to find the Total Area per Month of Year, as follows."
Data,"Conversely, people who drink “not at all” have a proportion of “never” drug users of 0.057 and a proportion of “often” drug users of only 0.001."
Struct,"In Figure 4, we look at the deaths over time (3)"
Data,"The mean playtime was 208.864 minutes, with a standard deviation of about 145.434."
Data,The date is also recorded.
Int,"Therefore, through the previous two data examples that have been shown, there is in fact no relationship between how fast your channel grows and which category someone decides to get into."
Lim,"But with more data from multiple World Cups, the analysis and conclusions can be more reasonably generalized to the World Cup in general."
MethDef,"This can be found by summarizing the relationship between the mean viewsPerVideo, the standard deviation, and the category."
MethDef,"To answer the questions Preston Jorgenson asked of us, we constructed two Poisson generalized additive models (GAM) where one uses the original covariates while the other uses lagged covariates (1)"
Res,"With the selected linear model, (1) since the coefficient for metabolic by mass is negative (-0.28697), we can conclude that animals with lower metabolic rates have longer lifespans, as requested by Preston Jorgensen."
Res,Entertainment videos aren’t very likely to get more than 5 million views because of the heavy right skew peaking at around 1 million.
MethJust,We chose to use 4 degrees of freedom for simplicity and speed.
MethDef,"In summary, there appears to be an underlying Poisson relationship in which increased death rate and corresponds to increased 7-day average of median ozone concentration, median sulfur dioxide concentration, median density of $PM_{10}$ pollution, and temperature, which we can model using a Poisson generalized additive model."
RQDef,"Specifically, the research questions proposed are: Is there evidence that pollutants are associated with increased mortality, and which ones have the strongest association."
Data,"The most popular country is the United States (595 out of the 1259 users sampled were from the United States making up 47% of the sample) and the least popular country is Italy (8 out of 1259 users in the sample were from Italy, comprising 0.6% of the 1259 users)."
Struct,Figure 3 is a scatterplot depicting the number of non-accidental deaths over the time period this dataset records.
Data,"The month with the highest median for DMC was August, with a median DMC of 145.4, and a max DMC of 273.8."
MethDef,"Since our assumptions are met, we can perform the test at level 0.01."
Res,The 95% confidence interval for this prediction is from 106.39 deaths to 114.633 deaths.
